Wall time,Step,Value
1599481056.603671,3187176,-1690.0
1599481069.4560199,3192199,-1360.0
1599481081.97578,3197217,-1160.0
1599481088.105698,3199722,-1340.0
1599481094.7776692,3202249,-2121.0
1599481101.1846342,3204749,-1180.0
1599481107.205201,3207272,-1450.0
1599481113.641425,3209784,-1350.0
1599481139.297166,3219821,-1130.199951171875
1599481172.017511,3232347,-650.0
1599481178.4266691,3234847,-410.0
1599481191.1122382,3239859,-490.0
1599481197.623761,3242382,-750.0
1599481204.0375848,3244887,-920.0
1599481223.19941,3252446,-710.0
1599481230.640911,3254957,-960.0
1599481236.8854558,3257457,-420.0
1599481250.176511,3262473,-750.0
1599481269.799947,3269976,-1030.0
1599481288.980397,3277482,190.0
1599481301.474575,3282485,60.000003814697266
1599481314.046221,3287486,-510.0
1599481320.661369,3289986,-290.0
1599481333.231605,3294987,-360.0
1599481339.438557,3297487,-180.0
1599481358.8743281,3305005,-180.0
1599481365.172517,3307506,-160.0
1599481371.7448268,3310007,-480.0
1599481385.940785,3315192,-760.0
1599481392.417577,3317693,-360.0
1599481399.026845,3320193,-460.0
1599481412.174245,3325194,-430.0
1599481418.585126,3327695,-59.99999237060547
1599481425.614435,3330196,-159.99998474121094
1599481431.8817909,3332696,-59.999996185302734
1599481438.289078,3335197,-29.99999237060547
1599481444.5396621,3337699,-300.0
1599481457.3569741,3342700,200.0
1599481477.3391,3350203,-370.0
1599481484.2880871,3352707,-560.0
1599481497.670035,3357708,-1280.0
1599481524.881603,3367711,-610.0
1599481532.233011,3370213,-660.0
1599481545.463325,3375215,-1410.0
1599481572.019733,3385220,-640.0
1599481585.070158,3390221,-900.0
1599481597.70507,3395223,-330.0
1599481610.7234461,3400224,-970.0
1599481616.915322,3402725,-870.0
1599481623.366001,3405226,-1170.0
1599481629.6357088,3407726,-530.0
1599481642.582033,3412726,-960.0
1599481665.003833,3420273,-1070.0
1599481672.310118,3422776,-740.0
1599481687.593516,3427788,-1050.0
1599481694.625702,3430353,-1300.0
1599481702.802007,3433341,-5630.39990234375
1599481717.067745,3438343,-960.0
1599481743.2333922,3448383,-590.0
1599481756.449307,3453388,-640.0
1599481763.335176,3455888,-810.0
1599481776.407419,3460963,-2080.0
1599481783.024299,3463467,-1160.0
1599481802.385785,3470975,-1410.0
1599481809.3663008,3473477,-1030.0
1599481841.538337,3486204,-1650.0999755859375
1599481848.2391229,3488806,-2470.39990234375
1599481854.05139,3491311,-1010.0
1599481860.454315,3493815,-1380.0
1599481872.504451,3498816,-1430.0
1599481885.592465,3503824,-1420.0
1599481892.1971478,3506331,-1080.0
1599481898.203833,3508836,-1150.0
1599481904.455887,3511339,-1550.0
1599481910.844161,3513844,-1460.0
1599481917.536175,3516365,-1980.199951171875
1599481937.021386,3524256,-1000.0
1599481955.26026,3531775,-1590.0
1599481967.707149,3536792,-1230.0999755859375
1599481980.456841,3541810,-1860.300048828125
1599481986.591221,3544312,-1870.300048828125
1599481992.9521432,3546812,-1720.0
1599481999.292363,3549362,-1930.300048828125
1599482005.278215,3551864,-1910.0
1599482030.4956238,3561870,-1820.0
1599482055.325719,3571904,-2130.0
1599482067.616381,3576917,-1350.0
1599482073.985698,3579425,-1410.0
1599482092.731891,3586963,-1030.0
1599482098.789481,3589472,-1150.0
1599482105.228978,3591975,-1300.0999755859375
1599482124.1842308,3599677,-3290.5
1599482142.969122,3607192,-1600.0
1599482148.951377,3609692,-1300.0
1599482155.3353071,3612201,-1120.0
1599482167.7233322,3617220,-1640.0
1599482174.025395,3619822,-2460.10009765625
1599482180.414315,3622353,-2170.300048828125
1599482199.542551,3629974,-1660.0
1599482211.924049,3634976,-2240.0
1599482217.8744562,3637477,-1810.0
1599482224.2555552,3639977,-1970.0
1599482230.317464,3642479,-2250.0
1599482236.661616,3644985,-1430.0
1599482242.6251478,3647485,-1700.0
1599482255.493536,3652486,-1410.0
1599482261.667198,3654989,-1590.0
1599482280.721992,3662650,-2940.300048828125
1599482311.140542,3675174,-1670.0
1599482335.0452402,3685189,-1540.0
1599482386.2530801,3705439,-3000.10009765625
1599482392.959859,3707939,-1840.0
1599482399.132146,3710440,-2360.0
1599482405.4558332,3712940,-1970.0
1599482429.760117,3722961,-2290.0
1599482447.8760169,3730463,-2490.0
1599482454.0836658,3732963,-2210.0
1599482466.030643,3737963,-2320.0
1599482472.069886,3740465,-2720.0
1599482478.7060769,3743242,-6400.2001953125
1599482484.428159,3745745,-2220.0
1599482496.2575061,3750746,-1840.0
1599482508.192798,3755746,-2910.0
1599482514.293427,3758246,-3200.0
1599482520.345634,3760853,-4600.0
1599482532.374264,3765855,-3140.0
1599482538.5812669,3768362,-3650.0
1599482544.455464,3770864,-2680.0
1599482556.728181,3775866,-2630.0
1599482569.309473,3780899,-1700.0
1599482605.0001652,3795930,-1520.0
1599482618.103306,3800935,-1440.0
1599482642.524145,3810993,-1530.0
1599482648.695175,3813502,-1790.0
1599482655.134519,3816004,-1610.0
1599482681.717013,3826766,-1920.0
1599482712.9548318,3839272,-1860.0
1599482718.979999,3841775,-2340.0
1599482744.7917209,3852008,-1910.0
1599482769.161988,3862013,-1860.0
1599482787.0742102,3869527,-1580.0
1599482804.757896,3877054,-2000.0
1599482810.693037,3879575,-2300.39990234375
1599482816.356195,3882076,-1810.0
