wall_time,step,value
1604180266.0063539,747461,-7262.10009765625
1604180268.8138938,748784,-10321.900390625
1604180272.775382,750543,-15432.599609375
1604180277.03285,752440,-15621.5
1604180279.318293,753468,-6751.39990234375
1604180280.778034,754114,-4332.7001953125
1604180282.266788,754733,-2421.10009765625
1604180283.74894,755389,-2741.10009765625
1604180285.241973,756067,-2991.199951171875
1604180287.039367,756762,-4322.2998046875
1604180288.23254,757364,-3001.89990234375
1604180289.685861,757909,-2922.39990234375
1604180291.14176,758566,-2480.800048828125
1604180292.585911,759180,-1710.5
1604180294.308233,759937,-3831.10009765625
1604180295.449122,760513,-1330.5
1604180297.13517,761296,-4591.7001953125
1604180299.355089,762333,-6280.7998046875
1604180301.356286,763201,-5671.89990234375
1604180302.807928,763896,-3111.10009765625
1604180305.335179,765018,-6240.0
1604180307.610632,766044,-8783.400390625
1604180310.2116401,767185,-8201.599609375
1604180312.488557,768203,-7982.60009765625
1604180314.499858,769145,-6561.89990234375
1604180319.921953,771542,-21512.30078125
1604180322.5092092,772701,-7400.7998046875
1604180324.801624,773681,-5650.7998046875
1604180326.865815,774578,-5131.10009765625
1604180329.7953799,775887,-8980.900390625
1604180331.583319,776686,-4291.2001953125
1604180333.337506,777449,-3550.89990234375
1604180335.637643,778388,-4920.5
1604180337.08788,779082,-3791.800048828125
1604180338.832265,779872,-3370.39990234375
1604180343.780652,782068,-18131.099609375
1604180345.86211,782940,-5411.7001953125
1604180350.084336,784838,-15681.5
1604180351.777698,785577,-6363.7998046875
1604180353.1934521,786237,-3121.39990234375
1604180354.886538,786972,-4381.89990234375
1604180356.589077,787781,-6313.0
1604180358.0394921,788372,-2551.5
1604180359.779104,789205,-5311.7998046875
1604180361.517914,789951,-4141.5
1604180363.796648,790931,-5921.0
1604180366.867156,792406,-12802.900390625
1604180368.83761,793217,-5882.60009765625
1604180370.764732,794167,-6962.2998046875
1604180375.317158,796217,-17862.099609375
1604180377.9473689,797342,-9393.0
1604180379.707001,798158,-4361.0
1604180382.258417,799305,-9212.599609375
1604180384.797514,800393,-8472.400390625
1604180387.661377,801668,-10682.7001953125
1604180389.985308,802746,-7381.5
1604180392.012604,803591,-4581.0
1604180395.929077,805419,-14711.400390625
1604180397.673631,806249,-5041.7001953125
1604180401.638369,808063,-14441.099609375
1604180405.979724,809875,-15572.2998046875
1604180411.22611,812169,-20312.19921875
1604180414.357697,813607,-10340.900390625
1604180419.214551,815868,-19231.599609375
1604180420.909733,816638,-4812.0
1604180424.567095,818235,-12301.2001953125
1604180430.967628,821208,-25951.099609375
1604180434.1183329,822587,-11162.2998046875
1604180436.1089091,823486,-5571.39990234375
1604180437.849827,824202,-5523.2001953125
1604180439.0277681,824761,-1841.199951171875
1604180440.4843972,825380,-1680.4000244140625
1604180442.4931278,826284,-7032.7998046875
1604180446.188354,827946,-13822.0
1604180448.52026,828948,-7582.5
1604180450.243573,829798,-4831.2001953125
1604180453.487747,831105,-10061.7998046875
